Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.47uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-44.45,-114.554,180,bottom
C2,0.47uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-44.45,-111.4044,180,bottom
C5,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-27.178,-102.108,180,bottom
C6,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-20.32,-102.743,-90,bottom
C7,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-33.782,-100.076,90,bottom
C8,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-31.75,-113.03,0,bottom
C9,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-28.067,-123.317,180,bottom
C10,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,-36.3728,-129.3368,180,bottom
D1,1N5819HW,D_SOD-323_HandSoldering,-28.321,-99.441,0,bottom
D2,1N5819HW,D_SOD-323_HandSoldering,-17.526,-101.6,-90,bottom
R1,50K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-38.608,-30.734,0,bottom
R3,50K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-38.608,-45.085,0,bottom
R5,50K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-38.354,-59.944,0,bottom
R7,50K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-39.0652,-69.5452,0,bottom
R15,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-37.211,-119.4816,90,bottom
R16,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-39.4208,-112.014,-90,bottom
R17,51K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-38.354,-98.425,0,bottom
R19,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-48.006,-84.328,-90,bottom
R20,51K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-44.6532,-84.328,-90,bottom
R21,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-39.751,-101.346,-90,bottom
R22,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-43.434,-101.092,0,bottom
R23,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-39.2684,-127.5588,90,bottom
R24,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-32.893,-120.396,-90,bottom
R25,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-40.386,-124.714,180,bottom
R26,1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-27.813,-128.9812,0,bottom
R27,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-26.416,-108.585,90,bottom
R28,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-35.56,-113.284,0,bottom
R29,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-24.13,-108.585,-90,bottom
R30,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-34.036,-116.332,180,bottom
R33,10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-41.0972,-121.412,180,bottom
R34,10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-27.3304,-125.73,0,bottom
R35,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-50.292,-118.618,180,bottom
R36,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-50.546,-103.124,180,bottom
R38,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,-38.354,-95.504,0,bottom
U1,TL074,SOIC-14_3.9x8.7mm_P1.27mm,-32.639,-107.823,-90,bottom
U2,RC4580,SOIC-8_3.9x4.9mm_P1.27mm,-34.1376,-125.3236,180,bottom
